company,complaint_count
CL Holdings LLC,13681
CAPITAL ONE FINANCIAL CORPORATION,10493
ENCORE CAPITAL GROUP INC.,10326
JPMORGAN CHASE & CO.,10079
"Portfolio Recovery Associates, LLC",9334
"BANK OF AMERICA, NATIONAL ASSOCIATION",9293
"CITIBANK, N.A.",9144
Resurgent Capital Services L.P.,9067
WELLS FARGO & COMPANY,8965
"Block, Inc.",6831
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",6665
SYNCHRONY FINANCIAL,6292
Experian Information Solutions Inc.,6201
"Paypal Holdings, Inc",5572
"EQUIFAX, INC.",5219
Chime Financial Inc,5152
"CCS Financial Services, Inc.",5047
AMERICAN EXPRESS COMPANY,4255
"Kriya Capital, LLC",3949
"Bread Financial Holdings, Inc.",3884
"I.C. System, Inc.",3673
NAVY FEDERAL CREDIT UNION,3532
"National Credit Systems,Inc.",3160
"CAINE & WEINER COMPANY, INC.",3102
GOLDMAN SACHS BANK USA,2439
"Spring Oaks Capital, LLC",2425
U.S. BANCORP,2316
TRANSWORLD SYSTEMS INC,2121
TD BANK US HOLDING COMPANY,2109
BARCLAYS BANK DELAWARE,2047
"Affirm Holdings, Inc",1695
TRUIST FINANCIAL CORPORATION,1656
"National Credit Adjusters, LLC",1622
Servicer under contract with Federal Student Aid,1591
"Harris & Harris, Ltd.",1428
"SOFI TECHNOLOGIES, INC.",1404
"Aldous & Associates, PLLC",1389
TrueAccord Corp.,1367
Radius Global Solutions LLC,1345
PNC Bank N.A.,1334
Self Financial Inc.,1283
"SUNRISE CREDIT SERVICES, INC",1237
T.S. Holdings,1231
UNITED SERVICES AUTOMOBILE ASSOCIATION,1209
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",1192
DISCOVER BANK,1110
"SANTANDER HOLDINGS USA, INC.",1002
ALLY FINANCIAL INC.,981
"Credit Control, LLC",977
"HW Holding, Inc",951
NCB Management Services Inc.,818
Kikoff Inc.,813
"CLGF Holdco 1, LLC",803
ROBINHOOD MARKETS INC.,798
"ProCollect, Inc.",784
"FAIR COLLECTIONS & OUTSOURCING, INC.",755
"Ability Recovery Services, LLC",732
"CITIZENS FINANCIAL GROUP, INC.",726
"Sequium Asset Solutions, LLC",711
"Early Warning Services, LLC",705
V and H Portfolio,698
Central Portfolio Control Inc.,695
OneMain Finance Corporation,684
"HUNTINGTON NATIONAL BANK, THE",651
"Collection Management Holdings, LLC",649
"Southwest Credit Systems, L.P.",624
BTH Management,604
"NRA Group, LLC",596
"Security Credit Services, LLC",594
"Coinbase, Inc.",585
"The CBE Group, Inc.",562
Source Receivables Management LLC,556
"Eastern Account Systems of Connecticut, Inc.",549
"ONLINE Information Services, Inc.",544
Atlanticus Services Corporation,544
FIFTH THIRD FINANCIAL CORPORATION,534
World Acceptance Corporation,533
BMO BANK NATIONAL ASSOCIATION,530
"Lockhart, Morris & Montgomery Inc.",515
"Westlake Services, LLC",515
"CAVALRY INVESTMENTS, LLC",510
"Capio Partners, LLC",499
"Waypoint Resource Group, LLC",494
FinCo Services Inc DBA Current,483
Klarna AB,480
Rent Recovery Solutions,470
"UPGRADE, INC.",465
"Aargon Agency, Inc.",456
"Bilt Technologies, Inc.",450
Possible Financial Inc,435
Absolute Resolutions Corp.,426
REGIONS FINANCIAL CORPORATION,411
"Exeter Finance, LLC.",411
