received_month,product,complaint_count
2026-01,Checking or savings account,7918
2026-01,Credit card,9517
2026-01,Debt collection,30996
2026-01,"Money transfer, virtual currency, or money service",3477
2026-02,Checking or savings account,6556
2026-02,Credit card,7397
2026-02,Debt collection,27360
2026-02,"Money transfer, virtual currency, or money service",2764
2026-03,Checking or savings account,7812
2026-03,Credit card,8309
2026-03,Debt collection,33583
2026-03,"Money transfer, virtual currency, or money service",3389
2026-04,Checking or savings account,7665
2026-04,Credit card,8191
2026-04,Debt collection,27942
2026-04,"Money transfer, virtual currency, or money service",3454
2026-05,Checking or savings account,7151
2026-05,Credit card,7716
2026-05,Debt collection,27333
2026-05,"Money transfer, virtual currency, or money service",3158
2026-06,Checking or savings account,5047
2026-06,Credit card,4926
2026-06,Debt collection,21699
2026-06,"Money transfer, virtual currency, or money service",1816
2026-07,Checking or savings account,21
2026-07,Credit card,8
2026-07,Debt collection,132
2026-07,"Money transfer, virtual currency, or money service",1
