state,complaint_count
TX,39749
CA,29763
FL,29110
GA,18688
NY,14481
NC,10271
IL,9769
PA,9339
SC,9327
NJ,7813
OH,6211
AZ,6021
AL,5766
VA,5754
MD,5667
MI,5635
LA,5353
TN,4759
WA,4646
MS,3980
NV,3467
MA,3414
IN,3257
MO,3045
CO,2903
OK,2327
MN,2231
CT,2117
WI,2104
AR,1904
OR,1717
Unknown,1593
KY,1551
UT,1201
DE,1145
KS,916
IA,829
DC,776
ID,704
NM,691
RI,669
NE,614
NH,549
HI,545
WV,461
PR,412
ND,368
WY,326
MT,319
ME,297
AK,255
SD,240
VT,132
AE,44
VI,31
AP,30
GU,23
UNITED STATES MINOR OUTLYING ISLANDS,21
MP,5
AS,1
AA,1
PW,1
